District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Ajmer,Rajasthan,365,62,3.23,0.99,11.23,10.5,-2.24,0.265,0.242,0.294,9.57,111.6
Hamirpur,Himachal Pradesh,730,153,3.76,2.0,12.8,10.5,-1.77,0.414,0.412,0.417,13.64,98.8
Bemetara,Chhattisgarh,365,116,5.32,3.46,11.27,10.43,-1.86,0.696,0.69,0.702,14.47,76.6
Khagaria,Bihar,365,72,3.31,3.52,11.28,10.42,0.21,0.44,0.583,0.353,16.01,61.6
Angul,Odisha,365,104,5.47,4.19,11.27,10.37,-1.28,0.67,0.75,0.605,14.76,61.4
Tirupati,Andhra Pradesh,365,32,2.0,1.7,11.85,10.31,-0.3,0.158,0.281,0.11,9.08,117.4
Munger,Bihar,365,72,3.31,3.49,11.16,10.3,0.18,0.449,0.583,0.365,15.34,61.6
Ahmednagar,Maharashtra,365,25,1.66,1.67,11.73,10.29,0.01,0.158,0.32,0.105,8.7,132.6
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,365,111,4.69,2.29,12.88,10.29,-2.4,0.468,0.468,0.468,15.07,85.5
Amreli,Gujarat,365,70,3.06,2.41,13.48,10.23,-0.65,0.561,0.629,0.506,11.23,112.3
Davangere,Karnataka,365,38,2.38,2.74,10.88,10.22,0.36,0.248,0.447,0.172,10.67,61.6
Jaunpur,Uttar Pradesh,365,86,3.69,3.13,11.42,10.21,-0.56,0.55,0.605,0.505,13.77,88.8
Morena,Madhya Pradesh,365,88,3.94,1.95,11.02,10.19,-1.99,0.429,0.432,0.427,12.57,68.5
Tonk,Rajasthan,365,76,3.61,1.02,13.44,10.18,-2.59,0.248,0.224,0.279,11.76,73.9
Botad,Gujarat,365,77,3.36,2.48,13.08,10.15,-0.88,0.57,0.61,0.534,12.23,103.2
Narmada,Gujarat,730,162,3.57,3.43,10.54,10.15,-0.13,0.567,0.63,0.515,14.77,88.3
Ratnagiri,Maharashtra,365,101,4.08,1.76,21.79,10.14,-2.32,0.51,0.485,0.538,11.16,75.3
Fatehpur,Uttar Pradesh,365,88,3.98,2.75,11.17,10.14,-1.24,0.495,0.511,0.479,15.02,67.8
Solapur,Maharashtra,365,110,4.32,1.9,11.04,10.08,-2.42,0.453,0.391,0.538,11.75,81.5
Chhatrapati Sambhajinagar,Maharashtra,365,59,3.09,1.4,11.01,10.07,-1.7,0.484,0.525,0.449,9.22,98.9
Suryapet,Telangana,365,144,5.33,1.4,11.82,10.06,-3.92,0.4,0.299,0.606,15.68,69.0
