District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Parvathipuram Manyam,Andhra Pradesh,365,56,2.25,2.49,11.87,8.32,0.24,0.442,0.714,0.32,8.33,80.1
Ghazipur,Uttar Pradesh,365,117,3.44,3.43,8.98,8.3,-0.01,0.548,0.513,0.588,14.0,45.6
Bhojpur,Bihar,365,120,3.53,3.0,9.64,8.29,-0.53,0.535,0.483,0.598,12.99,56.1
Kinnaur,Himachal Pradesh,365,50,2.26,0.86,11.44,8.21,-1.4,0.122,0.12,0.125,8.58,66.0
Eluru,Andhra Pradesh,365,88,2.93,2.08,11.91,8.13,-0.84,0.396,0.432,0.365,9.24,88.4
Gurdaspur,Punjab,365,61,2.23,1.52,13.78,8.02,-0.71,0.197,0.213,0.183,9.15,59.1
Valsad,Gujarat,365,66,2.95,3.09,11.37,8.01,0.14,0.662,0.788,0.571,10.51,50.7
Washim,Maharashtra,365,67,2.73,2.1,8.79,7.71,-0.63,0.503,0.537,0.474,10.71,61.2
Haveri,Karnataka,365,54,2.07,2.55,7.81,7.67,0.49,0.387,0.537,0.302,11.92,46.0
Dhule,Maharashtra,365,88,3.28,3.57,9.26,7.65,0.28,0.707,0.727,0.688,11.85,44.0
Porbandar,Gujarat,365,68,2.3,2.57,9.01,7.64,0.27,0.595,0.691,0.522,8.64,48.0
Uttara Kannada,Karnataka,365,58,2.36,1.83,18.51,7.57,-0.54,0.434,0.569,0.351,9.66,51.0
South Goa,Goa,365,62,2.6,1.66,19.47,7.54,-0.94,0.403,0.5,0.337,9.23,45.5
Bilaspur,Himachal Pradesh,365,76,2.52,1.3,10.97,7.5,-1.22,0.35,0.329,0.373,6.71,65.6
Gir Forest,Gujarat,365,71,2.72,2.79,9.74,7.45,0.08,0.571,0.704,0.481,11.06,50.2
Surat,Gujarat,365,68,2.77,2.67,9.54,7.4,-0.1,0.611,0.706,0.539,10.97,71.2
Gadag,Karnataka,365,39,1.56,2.6,8.16,7.36,1.04,0.313,0.538,0.221,10.57,43.9
Tapi,Gujarat,365,70,2.88,3.54,9.26,7.3,0.66,0.67,0.857,0.55,10.18,50.6
Sri Sathya Sai,Andhra Pradesh,365,39,1.43,2.02,7.47,7.21,0.58,0.25,0.359,0.192,8.13,62.0
Jhansi,Uttar Pradesh,365,57,1.88,1.52,11.17,6.91,-0.36,0.436,0.509,0.382,7.32,77.4
Anantapur,Andhra Pradesh,365,45,1.54,1.82,7.25,6.9,0.29,0.283,0.356,0.235,8.91,55.4
Vizianagaram,Andhra Pradesh,365,23,1.11,2.7,11.58,6.84,1.59,0.233,0.739,0.138,8.82,64.3
Koppal,Karnataka,365,47,1.62,2.38,8.1,6.81,0.77,0.317,0.468,0.239,8.51,51.9
Kondagaon,Chhattisgarh,365,71,2.67,3.09,9.71,6.75,0.42,0.638,0.831,0.518,9.9,66.2
YSR Kadapa,Andhra Pradesh,365,47,1.8,1.16,7.52,6.55,-0.64,0.252,0.298,0.219,7.94,46.4
Shivpuri,Madhya Pradesh,365,48,1.74,1.04,10.4,6.39,-0.7,0.175,0.188,0.164,6.89,44.5
Nashik,Maharashtra,365,40,1.48,1.81,8.63,6.16,0.32,0.384,0.6,0.282,7.45,42.5
Thiruvananthapuram,Kerala,365,48,1.76,1.89,12.04,6.04,0.13,0.202,0.354,0.142,6.98,47.3
Annamayya,Andhra Pradesh,365,56,1.98,1.64,7.22,6.03,-0.35,0.244,0.286,0.213,9.15,39.1
Bharuch,Gujarat,365,54,1.66,2.54,9.67,5.91,0.88,0.497,0.685,0.389,9.67,32.3
North Goa,Goa,365,50,1.71,2.1,18.74,5.49,0.39,0.457,0.74,0.33,7.82,29.1
Nandurbar,Maharashtra,365,72,2.04,2.41,6.6,4.91,0.38,0.599,0.694,0.526,8.42,23.0
Sindhudurg,Maharashtra,365,48,1.18,2.06,19.95,4.39,0.88,0.354,0.583,0.255,5.99,23.0
Jodhpur,Rajasthan,365,62,1.42,0.82,7.29,4.32,-0.6,0.185,0.161,0.217,6.32,34.1
Pathanamthitta,Kerala,365,25,0.69,2.03,16.38,4.23,1.35,0.103,0.32,0.062,5.45,34.5
Thoothukudi,Tamil Nadu,365,16,0.54,1.48,8.22,4.16,0.94,0.042,0.125,0.025,7.01,25.8
Tenkasi,Tamil Nadu,365,21,0.65,1.67,8.11,4.03,1.02,0.088,0.238,0.054,6.64,24.3
Tirunelveli,Tamil Nadu,365,18,0.64,1.08,9.67,3.8,0.44,0.074,0.167,0.048,4.94,42.4
